Equipo,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP,Pts_PJ_Local,Pts_PJ_Visitante,Delta_Pts_PJ,GF_PJ_Local,GF_PJ_Visitante,Delta_GF_PJ,Eficacia_Local_%,Eficacia_Visitante_%,Pct_Victorias_Local,Pct_Empates_Local,Pct_Derrotas_Local,Pct_Victorias_Visitante,Pct_Empates_Visitante,Pct_Derrotas_Visitante,Equipo_Transfermarkt,ValorPlantillaTexto,ValorPlantillaM,GrupoEconomico
River Plate,13,12,0,1,26,7,19,36,2.77,14,7,4,3,24,13,11,25,1.79,2.769230769230769,1.7857142857142858,0.9835164835164834,2.0,1.7142857142857142,0.2857142857142858,92.3076923076923,59.523809523809526,92.3076923076923,0.0,7.6923076923076925,50.0,28.57142857142857,21.428571428571427,CA River Plate,"134,85 mill. €",134.85,Alto
Talleres–C,14,7,4,3,18,10,8,25,1.79,13,7,4,2,24,13,11,25,1.92,1.7857142857142858,1.9230769230769231,-0.13736263736263732,1.2857142857142858,1.8461538461538463,-0.5604395604395604,59.523809523809526,64.1025641025641,50.0,28.57142857142857,21.428571428571427,53.84615384615385,30.76923076923077,15.384615384615385,CA Talleres,"42,18 mill. €",42.18,Alto
San Lorenzo,14,8,5,1,12,2,10,29,2.07,13,4,5,4,11,11,0,17,1.31,2.0714285714285716,1.3076923076923077,0.7637362637362639,0.8571428571428571,0.8461538461538461,0.01098901098901095,69.04761904761905,43.58974358974359,57.14285714285714,35.714285714285715,7.142857142857142,30.76923076923077,38.46153846153847,30.76923076923077,CA San Lorenzo de Almagro,"34,18 mill. €",34.18,Alto
Lanús,13,9,2,2,20,9,11,29,2.23,14,3,7,4,18,18,0,16,1.14,2.230769230769231,1.1428571428571428,1.087912087912088,1.5384615384615385,1.2857142857142858,0.25274725274725274,74.35897435897436,38.095238095238095,69.23076923076923,15.384615384615385,15.384615384615385,21.428571428571427,50.0,28.57142857142857,CA Lanús,"45,25 mill. €",45.25,Alto
Estudiantes–LP,14,7,5,2,22,10,12,26,1.86,13,5,4,4,13,14,-1,19,1.46,1.8571428571428572,1.4615384615384615,0.39560439560439575,1.5714285714285714,1.0,0.5714285714285714,61.904761904761905,48.717948717948715,50.0,35.714285714285715,14.285714285714285,38.46153846153847,30.76923076923077,30.76923076923077,Club Estudiantes de La Plata,"34,38 mill. €",34.38,Alto
Defensa y Justicia,14,7,5,2,21,11,10,26,1.86,13,5,3,5,15,12,3,18,1.38,1.8571428571428572,1.3846153846153846,0.4725274725274726,1.5,1.1538461538461537,0.34615384615384626,61.904761904761905,46.15384615384615,50.0,35.714285714285715,14.285714285714285,38.46153846153847,23.076923076923077,38.46153846153847,CSD Defensa y Justicia,"21,58 mill. €",21.58,Medio
Boca Juniors,14,8,3,3,19,10,9,27,1.93,13,5,2,6,14,14,0,17,1.31,1.9285714285714286,1.3076923076923077,0.6208791208791209,1.3571428571428572,1.0769230769230769,0.28021978021978033,64.28571428571429,43.58974358974359,57.14285714285714,21.428571428571427,21.428571428571427,38.46153846153847,15.384615384615385,46.15384615384615,CA Boca Juniors,"103,55 mill. €",103.55,Alto
Rosario Central,14,9,5,0,27,11,16,32,2.29,13,1,7,5,9,18,-9,10,0.77,2.2857142857142856,0.7692307692307693,1.5164835164835164,1.9285714285714286,0.6923076923076923,1.2362637362637363,76.19047619047619,25.64102564102564,64.28571428571429,35.714285714285715,0.0,7.6923076923076925,53.84615384615385,38.46153846153847,CA Rosario Central,"27,20 mill. €",27.2,Medio
Godoy Cruz,13,8,4,1,27,13,14,28,2.15,14,3,4,7,10,19,-9,13,0.93,2.1538461538461537,0.9285714285714286,1.2252747252747251,2.076923076923077,0.7142857142857143,1.3626373626373627,71.7948717948718,30.952380952380953,61.53846153846154,30.76923076923077,7.6923076923076925,21.428571428571427,28.57142857142857,50.0,CD Godoy Cruz Antonio Tomba,"6,65 mill. €",6.65,Bajo
Arg Juniors,13,7,3,3,24,13,11,24,1.85,14,4,4,6,7,9,-2,16,1.14,1.8461538461538463,1.1428571428571428,0.7032967032967035,1.8461538461538463,0.5,1.3461538461538463,61.53846153846154,38.095238095238095,53.84615384615385,23.076923076923077,23.076923076923077,28.57142857142857,28.57142857142857,42.857142857142854,AA Argentinos Juniors,"18,65 mill. €",18.65,Medio
Atlé Tucumán,13,6,4,3,15,13,2,22,1.69,14,3,6,5,10,14,-4,15,1.07,1.6923076923076923,1.0714285714285714,0.6208791208791209,1.1538461538461537,0.7142857142857143,0.43956043956043944,56.41025641025641,35.714285714285715,46.15384615384615,30.76923076923077,23.076923076923077,21.428571428571427,42.857142857142854,35.714285714285715,Club Atlético Tucumán,"15,10 mill. €",15.1,Bajo
Racing Club,14,6,5,3,20,17,3,23,1.64,13,3,4,6,16,18,-2,13,1.0,1.6428571428571428,1.0,0.6428571428571428,1.4285714285714286,1.2307692307692308,0.19780219780219777,54.761904761904766,33.33333333333333,42.857142857142854,35.714285714285715,21.428571428571427,23.076923076923077,30.76923076923077,46.15384615384615,Racing Club,"59,73 mill. €",59.73,Alto
Belgrano,13,6,4,3,12,8,4,22,1.69,14,4,2,8,8,18,-10,14,1.0,1.6923076923076923,1.0,0.6923076923076923,0.9230769230769231,0.5714285714285714,0.35164835164835173,56.41025641025641,33.33333333333333,46.15384615384615,30.76923076923077,23.076923076923077,28.57142857142857,14.285714285714285,57.14285714285714,CA Belgrano,"13,04 mill. €",13.04,Bajo
Newell's Old Boys,13,6,6,1,13,5,8,24,1.85,14,2,5,7,11,19,-8,11,0.79,1.8461538461538463,0.7857142857142857,1.0604395604395607,1.0,0.7857142857142857,0.2142857142857143,61.53846153846154,26.190476190476193,46.15384615384615,46.15384615384615,7.6923076923076925,14.285714285714285,35.714285714285715,50.0,CA Newell's Old Boys,"27,88 mill. €",27.88,Medio
Barracas Central,14,5,6,3,12,11,1,21,1.5,13,3,5,5,13,19,-6,14,1.08,1.5,1.0769230769230769,0.42307692307692313,0.8571428571428571,1.0,-0.1428571428571429,50.0,35.8974358974359,35.714285714285715,42.857142857142854,21.428571428571427,23.076923076923077,38.46153846153847,38.46153846153847,CA Barracas Central,"6,48 mill. €",6.48,Bajo
Tigre,13,5,3,5,14,14,0,18,1.38,14,4,4,6,13,15,-2,16,1.14,1.3846153846153846,1.1428571428571428,0.2417582417582418,1.0769230769230769,0.9285714285714286,0.14835164835164827,46.15384615384615,38.095238095238095,38.46153846153847,23.076923076923077,38.46153846153847,28.57142857142857,28.57142857142857,42.857142857142854,CA Tigre,"31,88 mill. €",31.88,Medio
Platense,14,6,4,4,15,12,3,22,1.57,13,3,3,7,11,17,-6,12,0.92,1.5714285714285714,0.9230769230769231,0.6483516483516483,1.0714285714285714,0.8461538461538461,0.22527472527472525,52.38095238095239,30.76923076923077,42.857142857142854,28.57142857142857,28.57142857142857,23.076923076923077,23.076923076923077,53.84615384615385,CA Platense,"15,26 mill. €",15.26,Bajo
Instituto,14,5,6,3,11,11,0,21,1.5,13,3,2,8,13,24,-11,11,0.85,1.5,0.8461538461538461,0.6538461538461539,0.7857142857142857,1.0,-0.2142857142857143,50.0,28.205128205128204,35.714285714285715,42.857142857142854,21.428571428571427,23.076923076923077,15.384615384615385,61.53846153846154,Instituto ACC,"9,68 mill. €",9.68,Bajo
Sarmiento–J,13,4,5,4,16,13,3,17,1.31,14,3,4,7,7,13,-6,13,0.93,1.3076923076923077,0.9285714285714286,0.3791208791208791,1.2307692307692308,0.5,0.7307692307692308,43.58974358974359,30.952380952380953,30.76923076923077,38.46153846153847,30.76923076923077,21.428571428571427,28.57142857142857,50.0,CA Sarmiento (Junín),"18,33 mill. €",18.33,Medio
Unión,13,4,5,4,12,12,0,17,1.31,14,2,7,5,7,13,-6,13,0.93,1.3076923076923077,0.9285714285714286,0.3791208791208791,0.9230769230769231,0.5,0.42307692307692313,43.58974358974359,30.952380952380953,30.76923076923077,38.46153846153847,30.76923076923077,14.285714285714285,50.0,35.714285714285715,CA Unión (Santa Fe),"13,63 mill. €",13.63,Bajo
Banfield,14,5,5,4,9,11,-2,20,1.43,13,2,4,7,12,21,-9,10,0.77,1.4285714285714286,0.7692307692307693,0.6593406593406593,0.6428571428571429,0.9230769230769231,-0.2802197802197802,47.61904761904761,25.64102564102564,35.714285714285715,35.714285714285715,28.57142857142857,15.384615384615385,30.76923076923077,53.84615384615385,CA Banfield,"30,05 mill. €",30.05,Medio
Gimnasia–LP,13,5,5,3,13,12,1,20,1.54,14,2,4,8,11,26,-15,10,0.71,1.5384615384615385,0.7142857142857143,0.8241758241758242,1.0,0.7857142857142857,0.2142857142857143,51.28205128205128,23.809523809523807,38.46153846153847,38.46153846153847,23.076923076923077,14.285714285714285,28.57142857142857,57.14285714285714,Club de Gimnasia y Esgrima La Plata,"12,15 mill. €",12.15,Bajo
