Equipo,Pts_PJ_Local,Pts_PJ_Visitante,Delta_Pts_PJ,GF_PJ_Local,GF_PJ_Visitante,Delta_GF_PJ,Eficacia_Local_%,Eficacia_Visitante_%,Percentil_Localia,Clasificacion_Localia
Rosario Central,2.2857142857142856,0.7692307692307693,1.5164835164835164,1.9285714285714286,0.6923076923076923,1.2362637362637363,76.19047619047619,25.64102564102564,100.0,Ventaja local muy alta
Godoy Cruz,2.1538461538461537,0.9285714285714286,1.2252747252747251,2.076923076923077,0.7142857142857143,1.3626373626373627,71.7948717948718,30.952380952380953,96.42857142857143,Ventaja local muy alta
Lanús,2.230769230769231,1.1428571428571428,1.087912087912088,1.5384615384615385,1.2857142857142858,0.25274725274725274,74.35897435897436,38.095238095238095,92.85714285714286,Ventaja local muy alta
Newell's Old Boys,1.8461538461538463,0.7857142857142857,1.0604395604395607,1.0,0.7857142857142857,0.2142857142857143,61.53846153846154,26.190476190476193,89.28571428571429,Ventaja local muy alta
River Plate,2.769230769230769,1.7857142857142858,0.9835164835164834,2.0,1.7142857142857142,0.2857142857142858,92.3076923076923,59.523809523809526,85.71428571428571,Ventaja local alta
Gimnasia–LP,1.5384615384615385,0.7142857142857143,0.8241758241758242,1.0,0.7857142857142857,0.2142857142857143,51.28205128205128,23.809523809523807,82.14285714285714,Ventaja local alta
Arsenal,1.2307692307692308,0.42857142857142855,0.8021978021978022,1.0,0.35714285714285715,0.6428571428571428,41.02564102564102,14.285714285714285,78.57142857142857,Ventaja local alta
San Lorenzo,2.0714285714285716,1.3076923076923077,0.7637362637362639,0.8571428571428571,0.8461538461538461,0.01098901098901095,69.04761904761905,43.58974358974359,75.0,Ventaja local alta
Arg Juniors,1.8461538461538463,1.1428571428571428,0.7032967032967035,1.8461538461538463,0.5,1.3461538461538463,61.53846153846154,38.095238095238095,71.42857142857143,Ventaja local alta
Belgrano,1.6923076923076923,1.0,0.6923076923076923,0.9230769230769231,0.5714285714285714,0.35164835164835173,56.41025641025641,33.33333333333333,67.85714285714286,Ventaja local alta
Banfield,1.4285714285714286,0.7692307692307693,0.6593406593406593,0.6428571428571429,0.9230769230769231,-0.2802197802197802,47.61904761904761,25.64102564102564,64.28571428571429,Ventaja local alta
Instituto,1.5,0.8461538461538461,0.6538461538461539,0.7857142857142857,1.0,-0.2142857142857143,50.0,28.205128205128204,60.71428571428571,Ventaja local alta
Platense,1.5714285714285714,0.9230769230769231,0.6483516483516483,1.0714285714285714,0.8461538461538461,0.22527472527472525,52.38095238095239,30.76923076923077,57.14285714285714,Ventaja local alta
Racing Club,1.6428571428571428,1.0,0.6428571428571428,1.4285714285714286,1.2307692307692308,0.19780219780219777,54.761904761904766,33.33333333333333,53.57142857142857,Ventaja local alta
Boca Juniors,1.9285714285714286,1.3076923076923077,0.6208791208791209,1.3571428571428572,1.0769230769230769,0.28021978021978033,64.28571428571429,43.58974358974359,48.214285714285715,Ventaja local alta
Atlé Tucumán,1.6923076923076923,1.0714285714285714,0.6208791208791209,1.1538461538461537,0.7142857142857143,0.43956043956043944,56.41025641025641,35.714285714285715,48.214285714285715,Ventaja local alta
Vélez Sarsfield,1.2857142857142858,0.6923076923076923,0.5934065934065935,1.1428571428571428,0.6153846153846154,0.5274725274725274,42.857142857142854,23.076923076923077,42.857142857142854,Ventaja local alta
Huracán,1.2307692307692308,0.6428571428571429,0.5879120879120879,0.7692307692307693,0.5714285714285714,0.19780219780219788,41.02564102564102,21.428571428571427,39.285714285714285,Ventaja local alta
Defensa y Justicia,1.8571428571428572,1.3846153846153846,0.4725274725274726,1.5,1.1538461538461537,0.34615384615384626,61.904761904761905,46.15384615384615,35.714285714285715,Ventaja local moderada
Colón,1.1428571428571428,0.6923076923076923,0.4505494505494505,1.0,0.46153846153846156,0.5384615384615384,38.095238095238095,23.076923076923077,32.142857142857146,Ventaja local moderada
Barracas Central,1.5,1.0769230769230769,0.42307692307692313,0.8571428571428571,1.0,-0.1428571428571429,50.0,35.8974358974359,28.57142857142857,Ventaja local moderada
Estudiantes–LP,1.8571428571428572,1.4615384615384615,0.39560439560439575,1.5714285714285714,1.0,0.5714285714285714,61.904761904761905,48.717948717948715,25.0,Ventaja local moderada
Unión,1.3076923076923077,0.9285714285714286,0.3791208791208791,0.9230769230769231,0.5,0.42307692307692313,43.58974358974359,30.952380952380953,19.642857142857142,Ventaja local moderada
Sarmiento–J,1.3076923076923077,0.9285714285714286,0.3791208791208791,1.2307692307692308,0.5,0.7307692307692308,43.58974358974359,30.952380952380953,19.642857142857142,Ventaja local moderada
Independiente,1.2307692307692308,0.8571428571428571,0.37362637362637374,1.1538461538461537,0.5714285714285714,0.5824175824175823,41.02564102564102,28.57142857142857,14.285714285714285,Ventaja local moderada
Cen. Córdoba–SdE,1.2142857142857142,0.9230769230769231,0.29120879120879106,0.6428571428571429,0.8461538461538461,-0.20329670329670324,40.476190476190474,30.76923076923077,10.714285714285714,Ventaja local moderada
Tigre,1.3846153846153846,1.1428571428571428,0.2417582417582418,1.0769230769230769,0.9285714285714286,0.14835164835164827,46.15384615384615,38.095238095238095,7.142857142857142,Ventaja local moderada
Talleres–C,1.7857142857142858,1.9230769230769231,-0.13736263736263732,1.2857142857142858,1.8461538461538463,-0.5604395604395604,59.523809523809526,64.1025641025641,3.571428571428571,Mejor rendimiento visitante
