Equipo,Delta_Pts_PJ,Z_Delta_Pts_PJ,Percentil_Localia,Clasificacion
Rosario Central,1.5164835164835164,2.6446095176966273,100.0,Atípico positivo
Godoy Cruz,1.2252747252747251,1.7646542431984666,96.42857142857143,Localía alta
Lanús,1.087912087912088,1.3495810005106559,92.85714285714286,Localía alta
Newell's Old Boys,1.0604395604395607,1.2665663519730939,89.28571428571429,Localía alta
River Plate,0.9835164835164834,1.0341253360679183,85.71428571428571,Localía alta
Gimnasia–LP,0.8241758241758242,0.5526403745500577,82.14285714285714,Localía media
Arsenal,0.8021978021978022,0.48622865572000773,78.57142857142857,Localía media
San Lorenzo,0.7637362637362639,0.3700081477674209,75.0,Localía media
Arg Juniors,0.7032967032967035,0.18737592098478387,71.42857142857143,Localía media
Belgrano,0.6923076923076923,0.15417006156975838,67.85714285714286,Localía media
Banfield,0.6593406593406593,0.05455248332468365,64.28571428571429,Localía media
Instituto,0.6538461538461539,0.03794955361717125,60.71428571428571,Localía media
Platense,0.6483516483516483,0.021346623909658514,57.14285714285714,Localía media
Racing Club,0.6428571428571428,0.004743694202146113,53.57142857142857,Localía media
Boca Juniors,0.6208791208791209,-0.06166802462790349,48.214285714285715,Localía media
Atlé Tucumán,0.6208791208791209,-0.06166802462790349,48.214285714285715,Localía media
Vélez Sarsfield,0.5934065934065935,-0.1446826731654655,42.857142857142854,Localía media
Huracán,0.5879120879120879,-0.16128560287297822,39.285714285714285,Localía media
Defensa y Justicia,0.4725274725274726,-0.5099471267307396,35.714285714285715,Localía media
Colón,0.4505494505494505,-0.5763588455607899,32.142857142857146,Localía media
Barracas Central,0.42307692307692313,-0.6593734940983519,28.57142857142857,Localía media
Estudiantes–LP,0.39560439560439575,-0.7423881426359139,25.0,Localía media
Unión,0.3791208791208791,-0.7921969317584517,19.642857142857142,Localía media
Sarmiento–J,0.3791208791208791,-0.7921969317584517,19.642857142857142,Localía media
Independiente,0.37362637362637374,-0.8087998614659638,14.285714285714285,Localía media
Cen. Córdoba–SdE,0.29120879120879106,-1.0578438070786516,10.714285714285714,Localía baja
Tigre,0.2417582417582418,-1.207270174446263,7.142857142857142,Localía baja
Talleres–C,-0.13736263736263732,-2.352872324264623,3.571428571428571,Atípico negativo
